Autor,Título,Área do Conhecimento,Tipo Documento,Unidade,Ano,Link
"Lopes, Gabriel Franco da Rosa",A justiça do conflito: políticas judiciárias de conciliação trabalhista no Brasi...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2019,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-14082020-010534/?&lang=pt-br
"Loureiro, Alexandre Pinto",O direito de greve do servidor público no Brasil diante do princípio do interesse...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2009,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-14102010-160659/?&lang=pt-br
"Lourenção, Manuela da Palma Coelho Germano",O princípio da congruência no processo individual do trabalho,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2011,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-13122012-163252/?&lang=pt-br
"Machado, Claudia Urano de Carvalho",A construção histórica do direito do trabalho como resistência à aplicação do pó...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2015,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-08042016-163831/?&lang=pt-br
"Machado, Gustavo Seferian Scheffer",A ideologia do contrato de trabalho: contribuição à leitura marxista da relação jurídica...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2012,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-03102012-091123/?&lang=pt-br
"Machado, Tonia Russomano",Condições facilitadoras do ativismo judicial na Justiça do Trabalho,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2018,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-16102020-153953/?&lang=pt-br
"Machado, Veridiana Chaves",O impacto das redes sociais nas relações laborais: a influência do poder diretivo...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2020,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-03052021-011729/?&lang=pt-br
"Maeda, Fabíola Miotto",Prestação de serviço por meio de pessoa jurídica: dignidade e fraude nas relações...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2014,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-21012015-080938/?&lang=pt-br
"Maeda, Patrícia",Interseccionalidade e direitos: a participação das trabalhadoras na Assembleia Nacional...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2020,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-24032021-174739/?&lang=pt-br
"Maior Souto, Giovanna Maria Magalhaes",A evolução histórica do Direito do Trabalho no Brasil de 2007 a 2017: a influência...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2019,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-02072020-133255/?&lang=pt-br
"Mancuso, Gisele Cristina",A ultratividade da norma coletiva: histórico brasileiro e a vedação ao instituto...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2019,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-24072020-002845/?&lang=pt-br
